	s_MAIN_ID	s_RA	s_DEC	s_RA_PREC	s_DEC_PREC	s_COO_ERR_MAJA	s_COO_ERR_MINA	s_COO_ERR_ANGLE	s_COO_QUAL	s_COO_WAVELENGTH	s_COO_BIBCODE	s_FLUX_U	s_FLUX_B	s_FLUX_V	s_FLUX_R	s_FLUX_I	s_FLUX_G	s_FLUX_J	s_FLUX_H	s_FLUX_K	s_FLUX_u	s_FLUX_g	s_FLUX_r	s_FLUX_i	s_FLUX_z	s_class	s_glat	s_glon	s_nan_spectra	s_zero_spectra
3560	b'SDSS J003610.22+400249.1'	00 36 10.2317	+40 02 49.152	14.0	14.0	0.4233	0.4504	90.0	A	O	b'2018yCat.1345....0G'						1.03896195e-20				1.9498487000000002e-21	1.56675e-20	1.0069323000000001e-20	5.6234133e-21	2.8183879999999996e-21	B	-22.73085391896211	119.7647432866322	False	False
3561	b'KUV 23120+1013'	23 14 33.9238	+10 29 21.705	14.0	14.0	0.0802	0.0573	90.0	A	O	b'2018yCat.1345....0G'		3.981075e-18	5.0118809999999994e-17	1e-17		2.2064821e-17	5.888443e-17			2.5763169999999997e-18	2.9040184e-17	1.7741917e-17	1.20226426e-17	9.817492e-18	B	-45.65003899816063	87.6910175280008	False	False
3562	b'SDSS J034920.39-070021.0'	03 49 20.3989	-07 00 20.895	14.0	14.0	0.0735	0.0487	90.0	A	O	b'2018yCat.1345....0G'						3.8045156e-17	2.576317e-17	2.8054332999999995e-17		1.3899515000000003e-17	5.1641557000000005e-17	2.9716632e-17	1.8535301e-17	1.2971819e-17	B	-43.30845653232277	195.79720517307356	False	False
3563	b'KUV 14282+2728'	14 30 25.0751	+27 14 52.606	14.0	14.0	0.0327	0.0432	90.0	A	O	b'2018yCat.1345....0G'		1.5488151e-15	1.7377999e-15	1.0471297e-15		1.6982419e-15	2.3227378000000003e-15	2.917428e-15	2.9922634999999996e-15		1.9952632000000002e-15	1.3182564000000001e-15	1.1481546999999999e-16		B	68.02495184557509	38.96222085473369	False	False
3564	b'SDSS J144300.86+320722.9'	14 43 00.8596	+32 07 22.904	14.0	14.0	0.0467	0.0822	90.0	A	O	b'2018yCat.1345....0G'						2.557996e-18				9.418916e-19	4.027166e-18	1.7988673999999998e-18	1.0814349e-18	6.471438e-19	B	65.31652247800835	51.348795389210395	False	False
3565	b'LS III +48   34'	21 27 50.5069	+49 09 08.779	14.0	14.0	0.0243	0.0214	90.0	A	O	b'2018yCat.1345....0G'		1.5135624e-13	1.1220189399999999e-13			5.908805e-13	3.0338937000000002e-12	4.2559814e-12	4.634473000000001e-12						B	-1.2715660383951062	92.42182484190118	False	False
3566	b'2MASS J13184247+5004278'	13 18 42.5369	+50 04 27.824	14.0	14.0	0.0354	0.033	90.0	A	O	b'2018yCat.1345....0G'						7.591026600000001e-17	7.7090196e-17	8.3945955e-17		8.689588e-18	1.1481546999999999e-16	6.4268856e-17	4.3451069999999994e-17	3.1117165e-17	B	66.46735335868703	111.93138572745008	False	False
3567	b'IRAS 03148+6011'	03 18 55.5	+60 22 00	5.0	5.0	13000.0	3000.0	73.0	E	M	b'1988NASAR1190....1B'															B	2.5396737631339463	140.20782302678	True	False
3568	b'PHL   406'	23 08 30.3534	-11 38 47.080	14.0	14.0	0.0609	0.0521	90.0	A	O	b'2018yCat.1345....0G'		1.5848925e-16	1.9952631e-16			2.1404231e-16	4.9773767e-17	8.4722644e-17							B	-61.31472081756998	60.56715253905293	False	False
3569	b'LS III +45    8'	20 29 23.5715	+45 17 56.311	14.0	14.0	0.0292	0.0299	90.0	A	O	b'2018yCat.1345....0G'		1.2882485e-12	5.248078e-12			3.735080399999999e-12	6.011741e-11	8.279426e-11	1.0115797e-10						B	3.704535340407028	83.03031549785352	False	False
3570	b'[W64] NGC 602c  15'	01 31 04.06	-73 24 31.5	6.0	6.0			0.0	D		b'2000AJ....119.2214M'		4.265787e-17	2.6915367e-17												B	-43.41980576654415	299.0534728404503	False	False
3571	b'SDSS J221449.87+163044.1'	22 14 49.8734	+16 30 44.190	14.0	14.0	0.2285	0.3147	90.0	A	O	b'2018yCat.1345....0G'						4.0476284000000003e-19				7.095775e-20	5.7809487e-19	3.3651190000000004e-19	2.1727008e-19	1.6982418999999999e-19	B	-32.14760816970337	77.2925463562439	False	False
3572	b'BPS CS 22880-0052'	20 43 56.5671	-20 48 10.094	14.0	14.0	0.0579	0.0321	90.0	A	O	b'2018yCat.1345....0G'	6.025592e-15	5.623412999999999e-16	6.7608285e-16	4.3651617999999994e-16		6.8770224e-16					7.079464299999999e-16	4.570880400000001e-16	4.0737997000000003e-16		B	-33.6519546907983	24.98148333383676	False	False
3573	b'SDSS J162301.99+315816.9'	16 23 01.9903	+31 58 16.919	14.0	14.0	0.0932	0.1221	90.0	A	O	b'2018yCat.1345....0G'						1.3261741000000001e-18				2.3442331999999998e-19	2.1086252000000003e-18	1.1142968e-18	6.776405e-19	5.000338300000001e-19	B	44.176319617193855	52.30496119677196	False	False
3574	b'IRAS 23257+6131'	23 27 58.8	+61 47 59	5.0	5.0	17000.0	7000.0	18.0	E	M	b'1988NASAR1190....1B'															B	0.5081797385448161	113.24228040295374	True	False
