	s_MAIN_ID	s_RA	s_DEC	s_RA_PREC	s_DEC_PREC	s_COO_ERR_MAJA	s_COO_ERR_MINA	s_COO_ERR_ANGLE	s_COO_QUAL	s_COO_WAVELENGTH	s_COO_BIBCODE	s_class	s_glat	s_glon	join
519	b'BD+47  3203'	20 51 46.8740	+48 02 13.653	14.0	14.0	0.030799999833106995	0.031199999153614044	90.0	A	O	b'2018yCat.1345....0G'	B	2.3350578399764284	87.54843320023168	-1.0
520	b'SDSS J211747.11-040429.0'	21 17 47.1137	-04 04 29.031	14.0	14.0	0.2421000003814697	0.25529998540878296	90.0	A	O	b'2018yCat.1345....0G'	B	-34.161600436924125	47.480468675695505	-1.0
521	b'PG 1310+130'	13 12 50.4761	+12 44 41.642	14.0	14.0	0.03519999980926514	0.02879999950528145	90.0	A	O	b'2018yCat.1345....0G'	B	74.76860244928821	323.1878074953556	-1.0
522	b'PG 2352+259'	23 55 32.9056	+26 12 01.161	14.0	14.0	0.049400001764297485	0.030500000342726707	90.0	A	O	b'2018yCat.1345....0G'	B	-35.00150920813393	107.59582033348184	-1.0
523	b'LS III +54    7'	21 57 27.7596	+54 52 24.749	14.0	14.0	0.022900000214576718	0.021900000050663948	90.0	A	O	b'2018yCat.1345....0G'	B	0.08314954869330911	99.6021422160965	-1.0
524	b'JL 148'	23 57 35.7671	-86 46 41.081	14.0	14.0	0.047699999064207084	0.03920000046491623	90.0	A	O	b'2018yCat.1345....0G'	B	-30.25898876375928	303.79977794068316	-1.0
525	b'LS  IV -15   51'	18 28 09.3184	-15 02 16.033	14.0	14.0	0.04490000009536743	0.043900001794099815	90.0	A	O	b'2018yCat.1345....0G'	B	-1.7845139832583958	16.927809394341608	-1.0
526	b'LS   I +63   89'	00 39 31.8445	+63 41 01.310	14.0	14.0	0.02339999936521053	0.021400000900030136	90.0	A	O	b'2018yCat.1345....0G'	B	0.8424566514137038	121.61256941726505	-1.0
527	b'EM* GGA  319'	05 10 02.192	+38 49 17.98	7.0	7.0	10.0	8.0	90.0	B	O	b'2003yCat.1289....0Z'	B	-0.6314763773631473	167.69054557271838	-1.0
528	b'2MASS J01384442+1431132'	01 38 44.3978	+14 31 13.106	14.0	14.0	0.1363999992609024	0.07419999688863754	90.0	A	O	b'2018yCat.1345....0G'	B	-46.79840421568729	139.7777774798445	-1.0
