gev_nuFnu10000_100000	gev_nuFnu1000_3000	gev_nuFnu100_300	gev_nuFnu3000_10000	gev_nuFnu300_1000	gev_nuFnu30_100	s_FLUX_U	s_FLUX_B	s_FLUX_V	s_FLUX_R	s_FLUX_I	s_FLUX_G	s_FLUX_J	s_FLUX_H	s_FLUX_K	s_FLUX_u	s_FLUX_g	s_FLUX_r	s_FLUX_i	s_FLUX_z	xmm_SC_EP_1_FLUX	xmm_SC_EP_2_FLUX	xmm_SC_EP_3_FLUX	xmm_SC_EP_4_FLUX	xmm_SC_EP_5_FLUX	s_MAIN_ID	s_class	s_nan_spectra	gev_1FGL_Name	gev_CLASS1	marked
3.656974388864246e-14	7.739928999750335e-13	2.278116698103027e-14	5.995852216027401e-13	4.385370903545083e-13	0.0	0.9999999999981286	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'LS  IV -14   72'	B	False	b'                  '	b'     '	0
2.4617212745123188e-14	3.9707567879026335e-14	1.740186658505495e-18	3.149885270026997e-14	5.060523822543506e-15	0.0	0.13791189209555116	0.14274241520589948	0.13554978264908585	0.13534900081186538	0.12129444115782699	0.0	0.11267272759894569	0.10853902762006165	0.10594071286066295	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'CPD-58  2608B'	B	False	b'                  '	b'     '	0
3.924949541449005e-15	1.2963105176227587e-14	1.53404465554598e-14	8.288177695648997e-15	1.842179847406056e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.16591897591978405	0.0	0.0	0.0	0.1614311034997527	0.16342590914958746	0.16733711522644226	0.17010720049208036	0.17177969571229415	0.0	0.0	0.0	0.0	0.0	b'SDSS J104238.64+240826.6'	B	False	b'1FGL J1043.1+2404 '	b'fsrq '	0
2.1205829045270574e-14	8.169964880549438e-14	7.72744230958905e-15	6.519180342601044e-14	3.5616618170578e-15	0.0	0.0	0.192905950375356	0.18421069079069086	0.0	0.0	0.17725127056782647	0.1528272519884513	0.14809315580636356	0.14471168047113242	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'Hen 3-1611'	B	False	b'                  '	b'spp  '	0
0.007443661176920383	0.2635857775568045	0.24859084002972426	0.0867547746380021	0.3936249465985488	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'LS III +50    6'	B	True	b'1FGL J2046.0+4954 '	b'SNR  '	0
1.9129768157519607e-14	2.0573415640673114e-13	1.0380152560435729e-13	1.2304406790938783e-13	1.520700205532883e-13	0.0	0.0	0.19048587595963384	0.17965722369561637	0.0	0.0	0.17643159779001974	0.15368485630198928	0.15045267430978362	0.14928777194235332	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'LS III +45   57'	B	False	b'1FGL J2111.3+4607 '	b'PSR  '	0
5.694523017294712e-15	7.248398006212776e-14	3.324325316485454e-14	5.789865446346457e-14	8.610382676448378e-14	0.0	0.0	0.16854177328872214	0.16994863825253417	0.0	0.0	0.1722178986394798	0.16401169171891863	0.16297061057234905	0.16230938752774066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'TYC  158-2839-1'	B	False	b'                  '	b'spp  '	0
9.981325972143914e-15	1.633189079658053e-14	6.486481074839663e-14	1.1626095710684453e-14	1.5577350451729565e-14	0.0	0.31797728358859273	0.33854724324062735	0.3434754731706615	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'EC 20443-3134'	B	False	b'                  '	b'     '	0
2.444872888183034e-14	7.768605912326595e-15	5.159765422962122e-14	1.554664453444186e-14	1.3336359354555805e-14	0.0	0.31423933735378423	0.3397495282330675	0.3460111344130356	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'EC 19516-5652'	B	False	b'                  '	b'bcu  '	0
6.423827642709479e-14	3.5041159551578527e-13	3.189205426828532e-13	2.0919952474963262e-13	4.887894703134975e-13	0.0	0.0	0.19734671360094713	0.1839392199667801	0.0	0.16401450509905957	0.17628994765950812	0.0	0.14083702243729396	0.1375725912349797	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'DETWC Tr 16 J104445.3-593920'	B	False	b'1FGL J1045.2-5942 '	b'BIN  '	0
1.7766188570952002e-15	1.1373010131778841e-14	3.5418205217057536e-14	4.4879650913072004e-15	1.8414492639137285e-14	0.0	0.0	0.0	0.0	0.0	0.0	0.16511421481220862	0.0	0.0	0.0	0.17183459791490127	0.16393221975495717	0.16579852605223194	0.16703431739812308	0.16628612406750642	0.0	0.0	0.0	0.0	0.0	b'SDSS J020438.26+150820.5'	B	False	b'1FGL J0204.5+1516 '	b'bcu  '	0
2.513349800368704e-14	5.1084177244884545e-14	1.3290489102540004e-16	2.231052396811082e-14	8.458949069659239e-14	0.0	0.0	0.18055720776563716	0.17034265271518226	0.0	0.0	0.17368791978071665	0.16003797581069779	0.15828046356466954	0.15709378036291344	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	b'LS  II +38   34'	B	False	b'                  '	b'bcu  '	0
